Employee_ID,Age,Gender,Department,Job_Role,Education,Monthly_Salary,Years_At_Company,Total_Working_Years,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Performance_Rating,Overtime,Business_Travel,Promotion_Last_5Yrs,Training_Hours,Projects_Handled,Absence_Days,Late_Days,Team_Size,Engagement_Score,Joining_Date,Last_Promotion_Date,Attrition
EMP100011,39,Male,Sales,Sales Executive,Master's,29000,0.4,14.2,1,3,3,3,Yes,Rarely,No,58.0,3,2,4,4,59.9,2026-03-07,,Yes
EMP100012,41,Male,Research & Development,Research Analyst,Diploma,58800,1.0,14.1,1,4,3,2,No,Rarely,No,19.0,6,9,1,5,56.7,2025-07-31,,No
EMP100013,38,Male,Customer Support,Customer Support Executive,Bachelor's,25900,2.2,11.4,3,4,2,2,No,None,No,17.0,3,11,0,3,66.3,2024-05-18,,No
EMP100014,33,Male,Technology,Software Engineer,Bachelor's,45400,2.9,5.9,2,3,3,4,No,None,No,38.0,5,5,4,2,67.1,2023-09-06,,No
EMP100015,37,Female,Technology,Data Engineer,Bachelor's,59200,3.5,9.1,2,3,3,3,No,None,No,45.0,5,6,2,4,65.3,2023-01-30,,No
EMP100016,34,Female,Technology,Data Engineer,Master's,49800,2.4,7.8,3,4,4,4,No,None,No,36.0,5,2,2,5,85.5,2024-03-06,,No
EMP100017,33,Male,Technology,QA Engineer,Bachelor's,44700,7.3,8.6,3,4,3,4,No,None,No,50.0,3,5,5,5,82.8,2019-04-13,,No
EMP100018,40,Male,Operations,Operations Manager,Master's,58900,4.6,10.3,2,4,2,3,No,Rarely,No,5.0,4,11,0,10,59.8,2021-12-24,,No
EMP100019,47,Male,Finance,Financial Analyst,Bachelor's,61200,0.7,17.7,4,3,2,4,No,Rarely,No,44.0,6,2,2,4,78.1,2025-11-17,,No
EMP100020,36,Male,Technology,Data Engineer,High School,55200,8.3,12.7,3,1,3,3,No,None,Yes,41.0,4,5,4,3,59.6,2018-04-12,2025-10-19,No
EMP100021,30,Male,Operations,Process Analyst,Bachelor's,34400,6.2,6.2,1,3,3,2,Yes,Frequently,No,40.0,3,10,2,5,53.9,2020-05-18,,No
EMP100022,26,Male,Sales,Account Executive,Bachelor's,28100,0.8,4.1,3,4,4,3,Yes,Rarely,No,53.0,8,6,2,1,85.3,2025-10-12,,Yes
EMP100023,29,Male,Technology,Software Engineer,Diploma,53200,1.9,5.9,2,4,3,4,Yes,None,No,32.0,5,3,2,1,72.3,2024-09-05,,No
EMP100024,51,Female,Finance,Financial Analyst,Master's,53500,0.4,14.8,1,3,2,4,No,Frequently,No,48.0,3,13,4,5,56.2,2026-03-07,,No
EMP100025,47,Male,Human Resources,HR Business Partner,Bachelor's,44100,4.0,18.9,1,3,4,3,Yes,Frequently,No,29.0,5,18,2,4,60.1,2022-07-31,,Yes
EMP100026,42,Male,Customer Support,Customer Success Manager,Master's,50700,4.2,15.0,4,2,1,4,No,Rarely,Yes,34.0,6,1,3,3,65.2,2022-05-19,2026-03-17,No
EMP100027,44,Male,Technology,Data Analyst,Master's,44800,2.8,13.9,3,3,3,4,No,Frequently,No,33.0,6,8,4,1,73.8,2023-10-12,,No
EMP100028,30,Female,Human Resources,HR Executive,PhD,24500,6.2,6.2,3,3,2,3,Yes,None,No,29.0,1,8,2,4,65.1,2020-05-18,,No
EMP100029,42,Male,Operations,Operations Manager,Bachelor's,49200,2.0,12.5,4,4,3,3,No,Frequently,No,34.0,4,3,1,13,84.7,2024-07-31,,No
EMP100030,43,Male,Sales,Account Executive,Bachelor's,40900,5.0,13.0,4,2,4,4,No,None,No,48.0,8,15,1,3,82.5,2021-07-31,,No
EMP100031,33,Male,Operations,Operations Manager,Master's,56000,3.0,8.7,2,3,2,4,No,None,No,21.0,7,8,5,3,59.2,2023-07-31,,No
EMP100032,25,Female,Sales,Account Executive,Master's,28400,1.2,2.1,4,4,1,3,No,None,No,5.0,4,7,1,5,69.8,2025-05-19,,No
EMP100033,22,Male,Sales,Sales Manager,Bachelor's,49400,1.0,1.0,3,4,3,4,No,None,No,33.0,2,11,2,9,80.0,2025-07-31,,No
EMP100034,37,Male,Research & Development,Research Scientist,Master's,45100,3.9,11.6,2,3,4,3,Yes,Frequently,No,70.0,5,9,3,5,72.8,2022-09-06,,No
EMP100035,30,Female,Research & Development,Product Analyst,Bachelor's,48300,2.9,5.6,2,1,4,4,No,None,No,56.0,6,8,7,4,62.6,2023-09-06,,No
EMP100036,37,Male,Customer Support,Customer Success Manager,Master's,45500,3.0,13.5,1,3,2,4,No,Rarely,Yes,48.0,3,18,3,14,56.2,2023-07-31,2026-05-02,No
EMP100037,32,Female,Technology,Data Analyst,Master's,47600,3.3,5.6,3,4,4,4,No,Rarely,No,24.0,4,9,4,1,83.5,2023-04-13,,No
EMP100038,25,Male,Sales,Sales Executive,Bachelor's,27500,4.0,4.0,2,3,2,2,Yes,None,No,15.0,4,6,1,5,52.2,2022-07-31,,No
EMP100039,48,Non-Binary,Marketing,Marketing Executive,Bachelor's,43000,3.1,23.7,4,4,3,3,No,None,No,21.0,5,16,1,5,82.5,2023-06-25,,No
EMP100040,26,Male,Finance,Finance Manager,Master's,50700,3.2,4.1,3,4,4,4,Yes,,No,47.0,6,13,2,14,87.3,2023-05-19,,No
EMP100041,29,Female,Sales,Sales Executive,Bachelor's,27800,1.6,4.6,2,3,2,3,No,Frequently,No,33.0,3,5,4,4,58.2,2024-12-24,,No
EMP100042,34,Male,Human Resources,Recruiter,Master's,27300,13.0,13.0,2,1,4,3,Yes,Frequently,No,46.0,3,13,2,3,57.9,2013-07-31,,Yes
EMP100043,35,Male,Sales,Business Development Executive,Bachelor's,24700,0.7,7.6,4,3,2,4,No,Rarely,No,19.0,6,6,1,1,73.9,2025-11-17,,No
EMP100044,21,Female,Research & Development,Research Analyst,Diploma,36300,0.0,0.0,1,4,4,3,Yes,None,No,36.0,12,12,3,4,67.5,2026-07-31,,No
EMP100045,41,Male,Technology,Software Engineer,Master's,71000,1.8,11.3,4,4,3,3,No,None,No,21.0,5,8,1,5,82.5,2024-10-12,,No
EMP100046,39,Male,Operations,Process Analyst,Bachelor's,50500,8.1,16.0,4,4,3,5,No,Rarely,No,50.0,4,5,4,5,93.3,2018-06-24,,No
EMP100047,52,Male,Technology,Data Analyst,Bachelor's,53100,7.9,19.9,1,3,2,3,No,Rarely,Yes,20.0,5,7,3,3,48.6,2018-09-06,2026-04-28,No
EMP100048,36,Male,Operations,Process Analyst,Bachelor's,47100,1.4,13.2,3,3,4,3,No,Frequently,No,17.0,6,3,1,5,73.1,2025-03-07,,No
EMP100049,33,Male,Operations,Process Analyst,Bachelor's,39000,4.2,10.0,1,3,1,2,No,None,No,26.0,10,4,2,3,41.6,2022-05-19,,No
EMP100050,27,Female,Technology,Software Engineer,Bachelor's,41700,1.8,3.0,2,3,3,4,No,,No,46.0,3,7,1,4,68.4,2024-10-12,,No
EMP100051,24,Male,Research & Development,Research Analyst,Bachelor's,39500,2.8,2.8,1,3,3,3,No,Rarely,Yes,80.0,3,14,2,2,60.2,2023-10-12,2025-03-17,Yes
EMP100052,33,Male,Customer Support,Customer Support Executive,Bachelor's,29200,3.5,10.6,3,3,1,5,No,Frequently,No,68.0,4,4,1,3,71.2,2023-01-30,,No
EMP100053,23,Male,Research & Development,Research Scientist,Master's,41900,2.0,2.0,3,4,2,3,No,Rarely,No,5.0,3,6,3,4,67.3,2024-07-31,,Yes
EMP100054,41,Male,Customer Support,Support Specialist,High School,38400,4.8,14.6,1,2,3,2,Yes,None,No,34.0,3,9,2,2,46.7,2021-10-12,,No
EMP100055,31,Female,Operations,Operations Manager,Master's,53600,2.1,7.4,1,4,3,4,No,Rarely,No,48.0,2,2,2,7,67.5,2024-06-24,,No
EMP100056,44,Female,Research & Development,Product Manager,Diploma,78600,3.8,16.6,3,4,3,4,No,Rarely,No,21.0,3,3,1,6,78.0,2022-10-12,,No
EMP100057,36,Female,Sales,Account Executive,Bachelor's,29000,5.9,10.3,3,4,2,3,Yes,Frequently,No,44.0,4,9,4,1,73.8,2020-09-05,,No
EMP100058,37,Female,Technology,QA Engineer,Bachelor's,54800,1.1,11.8,4,2,4,4,Yes,None,No,51.0,5,9,3,5,83.0,2025-06-24,,No
EMP100059,26,Male,Sales,Account Executive,PhD,26700,2.7,2.7,3,2,3,3,No,Rarely,No,9.0,5,7,4,1,60.5,2023-11-18,,No
EMP100060,39,Male,Technology,IT Support Specialist,Bachelor's,44000,3.3,15.5,3,3,1,4,No,Rarely,No,59.0,3,0,1,5,68.1,2023-04-13,,No
EMP100061,37,Female,Finance,Finance Manager,Bachelor's,60800,6.8,13.5,3,3,3,4,Yes,None,No,69.0,4,9,0,13,78.2,2019-10-12,,No
EMP100062,21,Male,Technology,Data Analyst,Bachelor's,40900,0.0,0.0,1,3,2,3,No,Frequently,No,32.0,5,14,1,1,50.6,2026-07-31,,No
EMP100063,44,Male,Customer Support,Customer Support Executive,Bachelor's,29100,2.1,12.9,3,3,4,3,No,None,Yes,47.0,7,4,2,2,78.1,2024-06-24,2025-09-21,No
EMP100064,41,Female,Finance,Accountant,Bachelor's,39900,3.4,15.2,2,4,3,3,No,None,No,37.0,5,8,5,4,70.2,2023-03-07,,No
EMP100065,28,Female,Technology,Data Analyst,Master's,38400,2.9,5.7,2,3,2,3,No,Frequently,No,69.0,7,18,0,3,62.7,2023-09-06,,Yes
EMP100066,41,Male,Operations,Process Analyst,Master's,38700,9.3,11.3,4,3,4,4,Yes,None,No,54.0,11,10,0,4,89.8,2017-04-12,,No
EMP100067,31,Male,Sales,Account Executive,Master's,30500,3.5,8.0,2,2,3,2,No,Rarely,No,27.0,7,9,8,4,53.0,2023-01-30,,No
EMP100068,29,Female,Customer Support,Team Leader,Master's,42200,6.4,6.4,3,3,2,4,No,None,No,29.0,9,5,1,7,68.1,2020-03-06,,Yes
EMP100069,37,Male,Sales,Sales Manager,Master's,45200,0.8,7.2,1,3,3,2,No,Frequently,No,29.0,5,17,1,12,52.1,2025-10-12,,No
EMP100070,42,Non-Binary,Research & Development,Product Analyst,Master's,41100,3.6,18.0,4,4,4,3,No,None,No,39.0,5,9,0,2,90.5,2022-12-24,,No
EMP100071,46,Male,Customer Support,Customer Success Manager,Bachelor's,43300,4.8,12.0,2,3,3,3,No,None,No,50.0,4,9,2,12,66.1,2021-10-12,,No
EMP100072,48,Female,Technology,Software Engineer,Bachelor's,58300,7.1,23.0,4,2,3,4,No,None,No,33.0,2,6,6,5,75.0,2019-06-25,,Yes
EMP100073,21,Female,Sales,Sales Manager,Master's,53700,0.0,0.0,4,3,1,2,Yes,None,No,6.0,5,11,2,14,60.7,2026-07-31,,No
EMP100074,21,Male,Customer Support,Customer Support Executive,Bachelor's,22600,0.0,0.0,4,1,4,3,No,Rarely,No,17.0,9,1,1,1,68.1,2026-07-31,,Yes
EMP100075,31,Male,Marketing,Digital Marketing Specialist,Master's,37600,5.4,5.4,4,2,1,4,No,None,No,40.0,2,7,3,5,66.2,2021-03-07,,No
EMP100076,27,Female,Marketing,Marketing Executive,Master's,27800,6.0,6.0,3,4,3,4,No,None,Yes,55.0,2,8,1,2,83.7,2020-07-30,2022-09-15,No
EMP100077,54,Male,Customer Support,Team Leader,Bachelor's,53800,7.4,23.5,3,2,4,3,No,None,Yes,30.0,3,14,3,13,69.0,2019-03-07,,No
EMP100078,36,Male,Sales,Sales Manager,Bachelor's,48100,0.6,12.2,4,3,1,3,Yes,None,No,49.0,7,10,2,5,70.9,2025-12-24,,Yes
EMP100079,32,Male,Finance,Senior Accountant,Master's,47100,5.2,8.5,4,1,2,4,No,Rarely,No,30.0,5,5,4,1,63.3,2021-05-19,,No
EMP100080,30,Female,Sales,Sales Executive,Bachelor's,26300,4.7,7.2,2,4,3,3,No,None,No,57.0,7,11,0,5,73.5,2021-11-17,,No
EMP100081,36,Male,Customer Support,Team Leader,High School,29900,4.2,9.3,3,3,4,4,Yes,Rarely,No,58.0,6,8,2,7,82.9,2022-05-19,,No
EMP100082,21,Male,Operations,Supply Chain Analyst,Bachelor's,32300,0.0,0.0,2,3,4,3,No,Rarely,No,34.0,6,5,1,2,68.4,2026-07-31,,No
EMP100083,41,Male,Technology,Data Engineer,Bachelor's,56000,11.3,15.5,2,3,2,4,No,None,No,63.0,3,9,5,5,65.8,2015-04-13,,Yes
EMP100084,45,Female,Sales,Sales Manager,Bachelor's,76800,8.7,21.1,3,3,4,2,No,Frequently,No,30.0,1,8,1,14,72.3,2017-11-17,,No
EMP100085,21,Male,Technology,IT Support Specialist,Master's,33800,0.0,0.0,1,2,4,3,No,Rarely,No,49.0,4,11,2,4,57.2,2026-07-31,,Yes
EMP100086,39,Male,Technology,IT Support Specialist,Bachelor's,53800,3.7,13.7,3,2,2,4,No,None,Yes,60.0,3,2,4,5,67.0,2022-11-18,2026-01-07,No
EMP100087,38,Female,Marketing,Brand Manager,Bachelor's,46900,16.9,16.9,3,2,1,4,No,Rarely,No,26.0,4,9,3,15,56.3,2009-09-05,,No
EMP100088,38,Male,Operations,Operations Executive,Diploma,38300,3.5,13.4,3,4,1,2,Yes,None,No,25.0,6,4,1,3,62.7,2023-01-30,,No
EMP100089,38,Female,Customer Support,Team Leader,Master's,47400,1.4,9.1,2,3,3,3,No,Rarely,No,45.0,1,14,0,15,65.3,2025-03-07,,No
EMP100090,26,Male,Human Resources,HR Manager,High School,48300,5.0,5.0,4,2,3,5,No,None,Yes,57.0,5,7,2,13,82.0,2021-07-31,2025-04-29,Yes
EMP100091,33,Male,Sales,Sales Executive,Bachelor's,28900,6.8,6.8,2,4,1,4,No,None,No,,8,14,3,5,62.8,2019-10-12,,No
EMP100092,41,Female,Marketing,Marketing Analyst,Bachelor's,59500,1.6,17.8,1,2,3,2,No,None,No,5.0,4,13,3,3,41.8,2024-12-24,,No
EMP100093,21,Male,Marketing,Marketing Executive,Diploma,24100,0.0,0.0,2,2,3,3,Yes,Rarely,No,5.0,6,7,6,5,52.3,2026-07-31,,No
EMP100094,35,Male,Operations,Process Analyst,PhD,39100,8.5,10.1,4,1,4,3,No,None,Yes,50.0,2,10,5,1,73.6,2018-01-29,2019-05-26,No
EMP100095,39,Female,Customer Support,Support Specialist,Bachelor's,30100,2.2,9.2,3,3,3,2,No,Frequently,Yes,5.0,3,7,3,4,63.1,2024-05-18,2025-12-13,No
EMP100096,31,Female,Human Resources,Recruiter,Master's,44300,4.5,8.7,3,3,4,5,No,Rarely,No,71.0,2,7,1,5,86.2,2022-01-29,,No
EMP100097,38,Male,Operations,Operations Executive,Bachelor's,28800,2.3,9.6,4,3,3,4,Yes,None,Yes,23.0,2,11,2,3,79.6,2024-04-12,2025-11-27,Yes
EMP100098,34,Male,Finance,Finance Manager,Bachelor's,72800,5.3,10.2,4,3,4,3,No,None,Yes,35.0,6,10,2,7,83.6,2021-04-12,2023-07-05,No
EMP100099,32,Female,Sales,Sales Executive,Bachelor's,33000,5.2,6.1,4,3,4,4,No,Rarely,Yes,60.0,4,7,3,3,90.8,2021-05-19,2023-01-24,No
EMP100100,31,Male,Sales,Business Development Executive,Bachelor's,31600,5.7,8.8,4,3,4,4,Yes,Frequently,No,51.0,8,8,4,2,89.2,2020-11-17,,Yes
EMP100101,44,Female,Sales,Business Development Executive,Master's,33900,7.5,13.7,2,3,3,4,No,Frequently,No,42.0,3,8,2,2,67.8,2019-01-30,,No
EMP100102,33,Male,Operations,Operations Manager,Bachelor's,42300,4.6,5.5,4,2,2,3,No,Rarely,No,39.0,10,15,3,10,68.0,2021-12-24,,No
EMP100103,27,Male,Technology,Data Analyst,PhD,34700,3.2,3.2,4,4,2,4,Yes,None,No,23.0,7,5,2,5,80.8,2023-05-19,,No
EMP100104,24,Male,Human Resources,HR Manager,Bachelor's,39600,1.5,2.2,2,3,3,3,No,None,No,39.0,9,1,4,5,64.2,2025-01-29,,No
EMP100105,22,Male,Research & Development,Research Scientist,Bachelor's,36900,1.0,1.0,3,2,3,3,No,None,No,51.0,5,8,2,4,67.5,2025-07-31,,No
EMP100106,22,Male,Technology,Data Engineer,Master's,37000,1.0,1.0,2,3,2,3,Yes,Rarely,No,48.0,7,9,2,1,60.7,2025-07-31,,Yes
EMP100107,30,Male,Finance,Accountant,Master's,44000,2.5,7.9,4,3,2,4,Yes,None,No,25.0,3,9,1,3,74.9,2024-01-30,,Yes
EMP100108,33,Male,Marketing,Digital Marketing Specialist,Bachelor's,39000,2.2,9.1,2,3,2,3,No,Frequently,No,47.0,6,9,2,1,60.6,2024-05-18,,No
EMP100109,32,Male,Technology,IT Support Specialist,Master's,49100,5.2,9.7,2,3,4,4,Yes,Frequently,No,67.0,1,11,2,1,75.8,2021-05-19,,No
EMP100110,27,Female,Sales,Business Development Executive,Bachelor's,30500,4.5,4.6,1,3,3,3,No,None,No,18.0,3,8,5,1,53.3,2022-01-29,,No
EMP100111,30,Female,Technology,Data Engineer,Master's,59000,8.7,8.7,3,3,3,4,No,Rarely,No,60.0,4,7,3,1,78.2,2017-11-17,,No
EMP100112,39,Male,Sales,Business Development Executive,High School,41600,7.1,14.8,4,2,4,5,No,None,No,67.0,3,7,4,3,87.5,2019-06-25,,No
EMP100113,42,Male,Research & Development,Product Manager,Bachelor's,69800,1.2,10.3,2,2,2,3,No,None,No,42.0,8,5,6,11,53.5,2025-05-19,,No
EMP100114,48,Male,Customer Support,Customer Success Manager,Bachelor's,53100,1.2,18.2,3,2,3,3,No,None,No,70.0,4,9,3,5,69.0,2025-05-19,,No
EMP100115,34,Male,Operations,Supply Chain Analyst,Master's,34500,1.3,10.8,3,2,4,4,No,None,No,56.0,3,6,2,2,76.3,2025-04-12,,No
EMP100116,45,Female,Customer Support,Team Leader,Bachelor's,51500,3.3,12.3,1,2,1,3,No,None,Yes,40.0,7,13,1,10,40.7,2023-04-13,2025-12-03,No
EMP100117,35,Female,Customer Support,Support Specialist,High School,31200,5.1,10.6,2,2,3,2,Yes,Rarely,No,28.0,1,5,4,2,53.2,2021-06-24,,No
EMP100118,46,Female,Technology,Data Engineer,Master's,75300,4.4,22.4,3,2,4,2,No,Frequently,Yes,25.0,5,10,3,1,65.2,2022-03-07,2025-12-17,No
EMP100119,39,Male,Customer Support,Team Leader,Bachelor's,47000,6.5,11.2,2,3,3,3,No,None,No,37.0,3,12,0,6,63.9,2020-01-30,,No
EMP100120,34,Male,Operations,Supply Chain Analyst,Diploma,42300,5.8,6.1,3,3,3,3,Yes,None,No,21.0,3,6,2,5,68.8,2020-10-12,,Yes
EMP100121,21,Male,Customer Support,Customer Success Manager,Master's,35600,0.0,0.0,3,3,3,4,No,None,No,36.0,2,8,2,10,74.2,2026-07-31,,No
EMP100122,33,Male,Customer Support,Team Leader,Bachelor's,43700,10.9,10.9,1,4,4,4,No,Rarely,No,54.0,7,8,2,11,73.5,2015-09-06,,No
EMP100123,28,Female,Technology,Data Engineer,Master's,52400,1.8,3.6,1,4,3,3,Yes,None,No,58.0,7,7,1,5,66.2,2024-10-12,,No
EMP100124,31,Male,Sales,Account Executive,Master's,26000,4.7,8.3,3,3,2,4,Yes,None,No,47.0,9,10,0,2,71.1,2021-11-17,,No
EMP100125,44,Female,Technology,Software Engineer,Master's,51600,11.8,15.6,2,3,1,4,No,Frequently,No,37.0,8,13,2,2,56.9,2014-10-12,,No
EMP100126,37,Male,Finance,Senior Accountant,Bachelor's,59400,6.1,12.7,2,4,4,3,Yes,Frequently,Yes,23.0,8,7,3,1,72.8,2020-06-24,2022-04-17,Yes
EMP100127,42,Female,Customer Support,Support Specialist,Master's,35700,5.2,16.8,4,3,2,4,No,Frequently,No,42.0,5,9,5,1,77.8,2021-05-19,,No
EMP100128,39,Male,Customer Support,Support Specialist,Bachelor's,32200,2.2,8.1,3,3,2,4,Yes,None,Yes,70.0,5,6,2,5,73.2,2024-05-18,2025-08-18,No
EMP100129,26,Male,Sales,Sales Manager,Bachelor's,44200,3.8,4.1,2,2,2,2,No,None,Yes,33.0,9,4,5,6,49.0,2022-10-12,2023-10-24,No
EMP100130,49,Male,Human Resources,HR Executive,Master's,39400,4.4,15.5,4,1,2,4,No,None,Yes,15.0,4,6,4,5,60.8,2022-03-07,2024-12-29,No
EMP100131,33,Male,Finance,Financial Analyst,Master's,40800,0.7,10.1,3,2,4,2,No,,No,5.0,4,6,2,5,61.8,2025-11-17,,No
EMP100132,42,Female,Technology,Data Analyst,Bachelor's,41400,2.2,10.8,3,2,2,4,No,None,No,49.0,10,0,1,4,65.2,2024-05-18,,No
EMP100133,47,Male,Sales,Sales Manager,Bachelor's,62400,3.0,13.1,3,4,3,2,No,None,No,47.0,1,8,4,8,76.3,2023-07-31,,Yes
EMP100134,23,Female,Technology,Data Analyst,Bachelor's,37800,2.0,2.0,4,3,3,4,No,Rarely,No,63.0,6,5,1,5,85.8,2024-07-31,,No
EMP100135,33,Female,Research & Development,Research Scientist,Master's,47400,3.5,9.0,4,3,2,3,No,Rarely,Yes,62.0,4,5,2,5,77.8,2023-01-30,2026-02-21,No
EMP100136,40,Male,Technology,QA Engineer,Bachelor's,52200,15.1,15.1,3,4,1,3,Yes,Frequently,No,34.0,3,8,3,4,67.2,2011-06-25,,Yes
EMP100137,32,Female,Human Resources,HR Executive,Master's,28400,6.3,7.6,3,3,1,3,Yes,Rarely,No,38.0,6,11,0,4,61.6,2020-04-12,,No
EMP100138,56,Female,Marketing,Marketing Executive,High School,47700,5.3,27.6,3,3,2,4,No,Frequently,No,46.0,2,7,3,3,70.9,2021-04-12,,No
EMP100139,36,Male,Finance,Finance Manager,Bachelor's,84600,0.9,11.1,3,4,4,4,No,Rarely,No,61.0,3,3,0,15,89.5,2025-09-05,,No
EMP100140,39,Male,Research & Development,Research Analyst,Master's,55500,4.9,14.6,1,3,3,3,Yes,Frequently,No,23.0,8,5,1,2,54.1,2021-09-05,,Yes
EMP100141,49,Male,Research & Development,Product Analyst,Bachelor's,55900,1.4,15.0,4,3,3,4,No,Rarely,No,33.0,3,4,2,4,81.2,2025-03-07,,No
EMP100142,23,Male,Technology,Software Engineer,Bachelor's,52300,2.0,2.0,4,2,4,3,Yes,Frequently,Yes,10.0,7,16,6,5,73.2,2024-07-31,2026-06-13,No
EMP100143,30,Female,Human Resources,Recruiter,Diploma,33800,3.4,7.5,3,4,3,4,Yes,None,No,58.0,4,13,3,1,84.2,2023-03-07,,No
EMP100144,26,Male,Technology,QA Engineer,Diploma,47700,5.0,5.0,3,4,2,3,No,Rarely,Yes,28.0,9,10,3,5,71.2,2021-07-31,2025-10-29,No
EMP100145,37,Male,Technology,IT Support Specialist,Bachelor's,56800,6.4,8.7,2,3,3,3,No,Rarely,Yes,32.0,9,7,3,2,63.1,2020-03-06,2023-11-06,No
EMP100146,47,Male,Sales,Sales Manager,Master's,67500,3.4,16.8,2,3,3,2,No,Frequently,No,23.0,4,12,2,4,58.6,2023-03-07,,No
EMP100147,26,Female,Operations,Supply Chain Analyst,High School,33600,5.0,5.0,3,3,3,5,No,Rarely,No,45.0,4,11,1,3,78.8,2021-07-31,,No
EMP100148,23,Female,Human Resources,HR Executive,Bachelor's,31600,2.0,2.0,3,3,2,3,No,Rarely,No,33.0,8,3,2,5,65.8,2024-07-31,,No
EMP100149,35,Male,Sales,Sales Manager,Bachelor's,50500,1.3,6.8,3,3,3,3,No,None,No,39.0,5,13,3,6,71.8,2025-04-12,,No
EMP100150,45,Male,Technology,QA Engineer,Master's,55800,6.4,12.8,3,3,3,3,Yes,Frequently,No,43.0,3,8,2,2,72.4,2020-03-06,,Yes
EMP100151,28,Female,Research & Development,Product Manager,Diploma,66700,7.0,7.0,3,3,3,2,No,Frequently,No,14.0,7,8,2,5,64.6,2019-07-31,,No
EMP100152,26,Male,Technology,QA Engineer,Master's,43100,4.8,4.8,2,1,2,3,No,None,No,54.0,4,11,2,2,49.2,2021-10-12,,No
EMP100153,47,Female,Sales,Sales Executive,Bachelor's,31200,9.0,21.5,3,3,2,4,No,None,No,60.0,7,12,2,2,73.2,2017-07-31,,No
EMP100154,32,Female,Human Resources,HR Manager,Bachelor's,64800,4.4,6.0,2,3,4,3,No,None,No,30.0,7,8,0,11,67.8,2022-03-07,,No
EMP100155,39,Male,Research & Development,Research Analyst,Bachelor's,56500,2.5,14.0,4,2,1,4,Yes,Frequently,No,49.0,7,4,5,3,67.7,2024-01-30,,Yes
EMP100156,45,Male,Technology,Data Analyst,Bachelor's,56200,2.2,11.5,3,3,4,4,Yes,Frequently,No,20.0,4,0,2,4,76.6,2024-05-18,,No
EMP100157,38,Male,Operations,Process Analyst,Bachelor's,43500,0.9,11.6,4,4,2,2,No,Frequently,No,5.0,4,9,1,1,71.8,2025-09-05,,No
EMP100158,34,Female,Marketing,Digital Marketing Specialist,Master's,41200,0.7,9.9,4,2,3,3,No,Rarely,No,44.0,1,10,5,2,73.8,2025-11-17,,No
EMP100159,26,Female,Technology,Data Engineer,PhD,46800,2.1,3.1,2,4,3,3,Yes,None,Yes,57.0,6,12,0,3,73.5,2024-06-24,2025-12-18,No
EMP100160,30,Male,Marketing,Brand Manager,Master's,46200,1.1,6.0,3,2,3,4,No,None,No,69.0,5,3,4,14,72.0,2025-06-24,,No
EMP100161,37,Male,Finance,Accountant,Diploma,42100,1.0,11.9,4,4,3,4,No,None,No,50.0,5,0,1,1,90.3,2025-07-31,,No
EMP100162,44,Female,Operations,Operations Manager,High School,50400,0.5,11.8,4,2,3,3,No,Rarely,No,24.0,3,6,2,3,70.5,2026-01-29,,No
EMP100163,30,Female,Operations,Supply Chain Analyst,Bachelor's,37000,8.0,8.0,4,4,4,4,No,None,Yes,63.0,7,9,2,2,97.0,2018-07-31,2024-09-19,No
EMP100164,29,Male,Operations,Operations Manager,Bachelor's,67900,8.0,8.0,3,3,2,3,No,None,No,9.0,6,3,3,10,61.7,2018-07-31,,No
